Address,Indicative Price,Bed,Bath,Car,Type,Land Size
"14 Greenwood Road, Donnybrook","$595,000 - $640,000",4,2,2,,
"1 Keppel Way, Mickleham",Auction Unless Sold Prior !!!!,4,2,2,,
"18 Demesne Drive, Donnybrook",Inspection by Appointment Only,4,2,2,,
"22 Tivoli Way, Mickleham","$570,000 - $620,000",3,2,2,House,262m²
"38 Janoli Street, Mickleham","$540,000 - $580,000",4,2,1,,
"3 Serenade Street, Donnybrook","ESR - $480,000 - $528,000",4,3,2,,
"228 Forest Red Gum Drive, Mickleham",AUCTION THIS SATURDAY 12th AT 1PM,3,2,2,House,350m²
"46 Alvarado Avenue, Thomastown","$600,000 - $660,000",3,2,1,House,541m²
"4 Selenium Street, Kalkallo",Brand New Quality House!!!,4,2,2,,
"78 Springbank Road, Wollert","Auction: $600,000 - $660,000",3,2,3,House,312.5m²
"9 Hues Street, Mickleham","$599,000",3,2,2,House,262m²
"34 Pines Way, Craigieburn","$480,000 - $520,000",4,2,2,House,681m²
"3 Rhubarb Place, Mickleham","$550,000 - $605,000",3,2,2,House,256m²
"3 Joy Drive, Mickleham","$580,000 - $620,000",3,2,2,,
"22 Amfissa Street, Wollert",Call Before it's SOLD !!,3,2,2,,
"3 Fritham Street, Donnybrook","$599,000-$639,000",4,2,2,,
"16 Mawson Street, Mickleham","$600,000 - $660,000",4,2,2,,
"32 Camberwell Parade, Mickleham","$639,000 - $689,000",4,3,2,,
"23 Bethnal Avenue, Wollert",AUCTION Sat 3 May 2:45pm,4,2,2,,
"14 Merrill Drive, Epping","$640,000 - $680,000",4,2,4,House,572m²
"356 Brossard Road, Mickleham",LUXURY LIVING,4,3,2,House,443m²
"24 Foreshore Drive, Donnybrook","$640,000 - $670,000",4,2,2,,
"24 Hazel Way, Mickleham","$530,000 - $570,000",3,2,1,,
"2 Bovine Crescent, Donnybrook","$570,000 - $620,000",4,2,1,,
"24 Foreshore Drive, Donnybrook","$640,000 - $670,000",4,2,2,,
"11 Humboldt Street, Kalkallo",Contact Aman Nagra 0425 825 544,3,2,2,,
"7 York Parade, Wollert","AUCTION $650,000 - $715,000",4,2,4,,
"23 Ilani Street, Epping","ESR: $570,000 - $627,000",4,2,2,House,530m²
"16 Stringybark Drive, Donnybrook","$520,000 - $550,000",4,2,1,House,238m²
"4 Hammersley Court, Lalor","$630,000 - $670,000",3,2,2,House,573.89m²
"11 Dundee Close, Gladstone Park",AUCTION I 630K - 670K,4,2,5,House,612m²
"1/86 Daley Street, Glenroy",Call before it's SOLD !!,3,2,2,,
"40 Gossia Avenue, Craigieburn","$650,000 - $699,000",4,2,2,House,350m²
"9 Leadbeater Drive, Wollert",$600k - $650k,4,2,2,House,310m²
"33 Birdsong Avenue, Mickleham","$650,000 - $680,000",5,3,2,,
"1 Bracegirdle Drive, Mickleham",Call before it's SOLD !!,4,2,2,,
"115 Moxham Drive, Kalkallo",Contact Agent,3,2,2,,
"59 Mealie Avenue, Mickleham","Stylish, Spacious & Move-In Ready!",4,2,2,,
"15 Cavender Street, Mernda","ESR: $600,000 - $660,000",3,2,2,House,301m²
"24 Lombard Street, Roxburgh Park","PRICE GUIDE $580,000 TO $630,000",3,2,2,,
"68 Brown Boulevard, Donnybrook",Contact Agent,4,3,1,,
"14 Balconies Way, Craigieburn",AUCTION Wed 16.4.2025 @ 6pm,3,2,2,House,400m²
"24 Brossard Road, Mickleham","$585,000 - $615,000",3,2,2,,
"11 Laurina Street, Kalkallo",Contact Agent,4,2,2,House,392m²
"53 Tucholsky Drive, Kalkallo","Brand New $582,000-$640,000",3,2,2,,
"3 Patch Road, Donnybrook","$639,000",4,2,2,House,312m²
"14 Cerulean Street, Wollert",Contact Agent,4,2,1,,
"20 Stilt Street, Kalkallo","$540,000 - $594,000",3,2,2,,
"15 Guernsey Street, Donnybrook","$650,000 - $680,000",4,2,2,,
"Lot207/80 Tyler Street, Reservoir","$580,000~$630,000",3,2,1,House,127m²
"10 Jum Way, Donnybrook",Contact Agent,4,2,4,House,321m²
"23 Boomerang Road, Donnybrook","$520,000 - $550,000",3,2,1,,
"11 Stainer Way, Donnybrook","$630,000 - $670,000",4,2,2,,
"92 Farm Crescent, Donnybrook",Brand New Luxury Home in Katalia Estate,4,2,2,,
"3 Bittern Road, Donnybrook",Call before it's SOLD !!,4,2,2,House,350m²
"14 Ridley Boulevard, Mickleham",Move-In Ready with Premium Upgrades,4,3,2,,
"61 Bovine Crescent, Donnybrook","A Home That Has It All -Space, Style & Convenience",4,2,2,,
"184 Grevillea Street, Craigieburn","$559,000 - $614,900| TWO MASTERS",4,3,2,,
"12 Sienna Court, Roxburgh Park","$630,000 - $660,000",4,2,2,House,452.4m²
"14 Burrell Way, Mernda",Auction Saturday 12th April at 2pm,4,2,2,House,450m²
"8 Keppel Way, Mickleham","$630,000-$660,000",4,3,2,,
"59 Belmore Parade, Mickleham",$650k to $690k,4,2,2,,
"1/88 Moorhead Drive, Mill Park",Auction 12th April @2pm,3,2,2,House,324m²
"19 Cream Road, Donnybrook","$615,000 - $640,000",4,2,2,,
"103 Wellington Street, Mernda","$650,000 - $700,000",4,2,2,House,404m²
"33 Budawang Way, Wollert",Auction on 3rd May at 10:00AM,4,2,1,,
"15 Poole Street, Craigieburn","$600,000 - $630,000",3,2,2,House,448m²
"39 Kingscote Way, Wollert",AUCTION Sat 26 Apr 3:00pm,3,2,2,House,430m²
"1 Tomentosa Court, Donnybrook","$579,000",4,2,1,House,217.5m²
"11 Maryland Road, Kalkallo",BRAND NEW | FULLY UPGRADED | MASSIVE LIVING,4,2,2,,
"17 Mealie Avenue, Mickleham",Priced To Sell!!!,4,3,2,,
"64 Porcini Parade, Mickleham",LUXURY LIVING,4,2,2,,
"43 Ben Loman Circuit, Craigieburn","$530,000 - $570,000",3,2,1,House,336m²
"88 DARGILE CIRCUIT, Epping",Contact Agent,4,2,2,,
"19 Orlando Drive, Roxburgh Park",Contact Agent,3,2,2,,
"29 Design Way, Kalkallo","$580,000 - $615,000",3,2,2,House,350m²
"15 Banford Street, Wollert","$609,000 FIRST HOME BUYERS PRICE",3,2,1,,
"18 Salsola Road, Mickleham","$650,000-$675,000",4,2,2,,
"23 Hendersons Road, Epping",AUCTION Sat 3 May 12:30pm,4,2,3,,
"75 Dargile Circuit, Epping",Contact Agent,4,2,1,,
"16 Cleeland Court, Roxburgh Park","$530,000 - $580,000",3,2,1,,
"14 Butter Way, Donnybrook",Contact Agent,4,2,2,,
"38 Nasturium Street, Kalkallo","$500,000 - $549,000",3,2,1,,
"30 Coolangatta Drive, Mickleham",BRAND NEW | 2 LIVINGS | 2 MASTERS,4,3,2,,
"76 Dargile Circuit, Epping",Auction Saturday 26th April 2025 AT 1:00PM,4,2,2,,
"9 Errinundra Way, Wollert",AUCTION Sat 26 Apr 3:30pm,3,2,2,House,302m²
"34 Salsola Road, Mickleham","$650,000 - $710,000",4,2,2,,
"25 Leandon Avenue, Wollert","$650,000 to $680,000",4,2,2,House,336m²
"4 Streamside Drive, Craigieburn",Stunning modern home,4,2,2,,
"64 Allumba Drive, St Helena","$740,000 - $800,000",3,2,2,House,674m²
"64 Bilby Street, Craigieburn",Auction Saturday 12th April 2025 AT 3:00PM,3,2,1,House,263m²
"71 Dargile Circuit,, Epping",Auction Saturday 3rd May At 1:00PM,4,2,1,House,240m²
"19 Argenta Street, Mickleham","$590,000 - $630,000",4,2,2,House,400m²
"17 Cerulean Street, Wollert",2 MASTER ENSUITES !!,4,3,2,,
"9 Viewmont Avenue, Craigieburn","$500,000 - $530,000",3,2,1,House,275m²
"35 Longwood Drive, Epping",AUCTION Sat 3 May 2:00pm,3,2,4,House,663m²
"51 Dargile Circuit, Epping",$570k-$610k,4,2,2,,
"7 Dolerite Place, Epping",Auction Saturday 12th April 2025 AT 4.00PM,3,2,2,,
"12 Times Street, Kalkallo",Contact Agent,4,2,2,,
"113 Moor Park Drive, Craigieburn","AUCTION $610,000 - $650,000",4,3,4,House,401m²
"40 Chiltern Way, Wollert",AUCTION Sat 3 May 2:00pm,4,3,2,House,392m²
"6 Galileo Place, Greenvale",The Ultimate Family Haven with Premium Upgrades!,4,3,2,,
"17 Vicarage Drive, Wollert","$650,000 - $690,000",4,2,2,House,350m²
"21 Waterside Boulevard, Wollert",Auction Saturday 12th April 2025 AT 5:15PM,4,2,2,,
