Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$640,000 - $670,000","21 Boyd Avenue, Warragul",House,4,2,2,,,Stephanie Nash,126-150 of 574 properties
"$630,000 - $680,000","53 Valencia Circuit, Cranbourne",House,3,2,2,,,Darren Saxon,126-150 of 574 properties
"$620,000 - $680,000","3 Farmdale Road, Pakenham",House,4,2,2,,,Daniel Boyle,126-150 of 574 properties
"$640,000 - $680,000","22 Bronnie Street, Clyde North",House,4,2,2,,,Ben Duke,126-150 of 574 properties
"$640,000 - $680,000","12 Pirita Place, Cranbourne West",House,4,2,2,,,Ben Doughton,126-150 of 574 properties
,"14 Honeybrook Lane, Clyde",House,3,2,2,,,Dilshan Wijerathna,126-150 of 574 properties
"$620,000 - $660,000","15 Laburnum Grove, Doveton",House,3,2,2,Inspection Wed 18 Dec 5:00 pm,,Fatima Rezai,126-150 of 574 properties
"$630,000 - $693,000","6 Magenta Street, Clyde North",House,4,2,2,,,Tony Muaremov,126-150 of 574 properties
"$580,000 - $620,000","10 Maidenhair Drive, Warragul",House,4,2,2,,,Dave Clark,126-150 of 574 properties
"$600,000 - $660,000","3 Wicket Road, Clyde",House,3,2,2,,,Jonathan Mallas,126-150 of 574 properties
"$650,000 - $710,000","12/290 Centre Road, Narre Warren South",House,3,2,2,Inspection Wed 18 Dec 5:30 pm,,Joanne O'Connor,126-150 of 574 properties
"$630,000 - $690,000","2 Viewside Way, Hampton Park",House,3,2,2,Inspection tomorrow 9:30 am,,Nalaka Weerakoon,126-150 of 574 properties
"$650,000 = $700,000 AUCTION (UNLESS SOLD PRIOR)","58 Villager Street, Cranbourne East",House,4,2,4,,,Myles Johansson,126-150 of 574 properties
"$650,000 - $715,000","8 Azure Court, Pakenham",House,3,2,2,,,Tain Bartholomew,126-150 of 574 properties
"$620,000 - $680,000","12 Clarendon Street, Pakenham",House,3,2,2,,,Fabian Villella,126-150 of 574 properties
"$585,000 - $630,000","2 Harlesden Circuit, Pakenham",House,3,2,2,,,Troy Farrell,126-150 of 574 properties
"$570,000 - $620,000","35 Sandy Road, Officer",House,3,2,2,,,Terri Fellows,151-175 of 574 properties
"$550,000 - $600,000","3 Aileron Alley, Cranbourne North",House,3,2,2,,,Marsh Schwallie,151-175 of 574 properties
"$570,000 - $625,000","3 Zeppelin Way, Beaconsfield",House,3,2,1,,,Michael Panayi,151-175 of 574 properties
$620K - $650K! Plans and Permits 3 Townhouses,"14 Roma Avenue, Cranbourne",House,3,2,5,,,Vas Selvaraj,151-175 of 574 properties
"$599,000 - $658,900","4 Cercis Court, Doveton",House,3,2,1,,,Habib Sultani,151-175 of 574 properties
"$579,000","1/5 Karrala Court, Drouin",House,3,2,3,,,Clare Rocke,151-175 of 574 properties
"$600,000-$650,000","20 Western Barred Place, Longwarry",House,4,2,2,,,Shane Candappa,151-175 of 574 properties
"$600,300","Lot 42 Granite Court (Nelson Village Estate), Cranbourne East",House,3,2,2,,,Jerome Duchenne,151-175 of 574 properties
$610K-$660K! Guest Bed Downstairs! Meridian,"16 Portobello Boulevard, Clyde North",House,4,3,2,,,Aseem Jhanji,151-175 of 574 properties
