Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$595,000 - $650,000","6A Jacqueline Place, Pakenham",House,4,2,2,,,John Deo,226-250 of 574 properties
"$630,000 - $680,000","10 Rupert Street, Cranbourne East",House,4,2,1,,,Phillip Verma,226-250 of 574 properties
"$590,000 - $649,000","301/15 Windsor Avenue, Springvale",House,3,2,2,,,Phillip Khuon,226-250 of 574 properties
"$600,000 - $660,000","2 Jumbuck Circuit, Carrum Downs",House,3,2,2,,,Georgia Ryan,226-250 of 574 properties
$599K-$658K! Brand New! 10K FHOG!,"21 Cann Street, Clyde",House,4,2,1,,,Aseem Jhanji,226-250 of 574 properties
"$649.000 - $712,000","17 Stephellen Way, Cranbourne West",House,3,2,4,,,Vats Jaitly,226-250 of 574 properties
"$640,000 - $680,000","54 Bona Vista Rise, Clyde",House,3,2,1,,,Dilshan Wijerathna,251-275 of 574 properties
,"41 Cook Street, Drouin",House,3,2,1,,,Brad Boyde,251-275 of 574 properties
"$560,000 to $590,000 - Priced to Sell !!!","16 Kosciuszko Circuit, Clyde",House,3,2,1,,,James Fernando,251-275 of 574 properties
"$600,000 - $660,000","16 Eacott Street, Longwarry",House,4,2,2,,,Marcus Washington,251-275 of 574 properties
"$645,000 - $665,000","30 McLean Street, Drouin",House,3,2,3,,,Elise Davidson,251-275 of 574 properties
"$650,000 - $695,000 - STUNNING HOME!","11 Walhallow Drive, Clyde North",House,4,2,1,,,Shan Dias,251-275 of 574 properties
"$630,000 - $690,000","31 Authentic Avenue, Cranbourne South",House,3,2,2,,,Maddie Harris,251-275 of 574 properties
"$650,000 - $695,000","13 Balook Court, Cranbourne North",House,3,2,2,,,Peter Khamis,251-275 of 574 properties
"$550,000 to $600,000","3 Bertram Street, Drouin",House,3,2,3,,,Jeffrey George,251-275 of 574 properties
"$580,000-$620,000","7 Tatterson Court, Warragul",House,4,2,2,,,Kim Durrand,251-275 of 574 properties
"$600,000 - $620,000","16 Ellen Close, Warragul",House,3,2,2,,,Daniel Sheehan,251-275 of 574 properties
"$600,000 - $630,000","91 Golden Grove Drive, Narre Warren South",House,3,2,2,,,Chaminda Gunasekara,251-275 of 574 properties
"$640,000 - $660,000","4 Denistoun Crescent, Cranbourne",House,3,2,2,,,Mel Worthington,251-275 of 574 properties
"$635,000 - $665,000","16 Longwarry Road, Drouin",House,4,2,2,,,Vince Di Grazia,251-275 of 574 properties
"$625,000 - $645,000","13 Stanhope Place, Pakenham",House,4,2,2,,,Amanda Charles,251-275 of 574 properties
$590K-$630K! Guest Bed Downstairs!,"22 Portobello Boulevard, Clyde North",House,4,3,2,,,Aseem Jhanji,251-275 of 574 properties
"$600,000-$650,000","66 Sutton Street, Warragul",House,3,2,2,,,Kim Durrand,251-275 of 574 properties
"$575,000 - $599,000 | NO BODY CORPORATE FEES!","10 Tolpis Lane, Cranbourne North",House,3,2,2,,,Shami Hamdam,251-275 of 574 properties
"$615,000 - $675,000","35 Timbertop Crescent, Drouin",House,4,2,2,,,Braeden Robbins,251-275 of 574 properties
"UNDER CONTRACT! $620,000 - $669,000","280 Rix Road, Officer",House,4,2,2,,,Milan Takkar,251-275 of 574 properties
"$650,000 - $670,000","5 Ethan Court, Pakenham",House,4,2,2,,,Jess Ostrom,251-275 of 574 properties
"$645,000 - $665,000","6 Hume Court, Warragul",House,4,2,2,,,Dave Clark,251-275 of 574 properties
"House and Land $642,860","74 Palladium Boulevard, Drouin",House,4,2,2,,,Laura Gould,251-275 of 574 properties
"$540,000 - $580,000","96 Cook Street, Drouin",House,3,2,2,,,Jess Ostrom,251-275 of 574 properties
"$600,000 - $660,000","3 Skyline Drive, Warragul",House,3,2,2,,,Maurice Oliver,251-275 of 574 properties
"$600,000 - $650,000","46 AQUATIC Drive, Cranbourne West",House,3,2,1,,,Ekansh Kohli,276-300 of 574 properties
"$620,000 to $649,000","5 Henley Avenue, Warragul",House,3,2,2,,,Phil Gallagher,276-300 of 574 properties
"$640,000 - $690,000","35 Huntington Drive, Hampton Park",House,3,2,2,,,Aren Aliu,276-300 of 574 properties
$620 000 - $660 000,"8 Sunline Street, Drouin",House,4,2,2,,,Brad Boyde,276-300 of 574 properties
"$620,000 - $670,000","23 Optima Street, Officer",House,3,2,2,,,Liza Hickey,276-300 of 574 properties
"OFFERS INVITED $620,000 - $680,000","15 Pryor Street, Officer",House,4,2,2,,,Harvey Nhan,276-300 of 574 properties
"UNDER CONTRACT $620,000 - $680,000","29 Salvia Avenue, Pakenham",House,4,2,2,,,Marcus Washington,276-300 of 574 properties
"$650,000 - $695,000","19 Rilana Road, Clyde North",House,4,2,2,,,Shan Dias,276-300 of 574 properties
,"10 Langley Way, Pakenham",House,3,2,2,,,Amanda Claridge,276-300 of 574 properties
"$550,000 - $605,000","46 Pyrenees Road, Clyde",House,3,2,2,,,Tim Dixon,276-300 of 574 properties
"$595,000 - $650,000","50 Willandra Circuit, Warragul",House,3,2,2,,,Bailey Harrison,276-300 of 574 properties
"$600,000 - $660,000","61 The Parkway, Pakenham",House,3,2,2,,,John Deo,276-300 of 574 properties
"$600,000 - $660,000","15 Rockford Street, Pakenham",House,4,2,2,,,Susan Tse,276-300 of 574 properties
"$645,000 - $685,000","13 Hellenic Court, Carrum Downs",House,3,2,4,,,Karen Finch,276-300 of 574 properties
"$550,000 - $605,000","11 Nicholas Court, Pakenham",House,3,2,2,,,Liza Hickey,276-300 of 574 properties
"$570,000 - $620,000","16 Nash Road, Bunyip",House,3,2,2,,,Derrick Brown,276-300 of 574 properties
"$630,000 - $660,000","12 Tracie Court, Drouin",House,4,2,2,,,Peter Powell,276-300 of 574 properties
$539K - $592K Must Sell!,"5 Nebo Way, Clyde",House,3,2,1,,,Dilshan Wijerathna,276-300 of 574 properties
"Buy Now! $650,000 - $700,000","7 Hillside Avenue, Dandenong North",House,4,2,3,,,Alan Tran,276-300 of 574 properties
"$650,000 - $700,000 Brand New","30 Ryder Street, Cranbourne",House,4,2,2,,,Arif Akhlaqi,276-300 of 574 properties
"$590,000 - $649,000","34 Miller Cl, Drouin",House,3,2,4,,,Tahnee Morgan,276-300 of 574 properties
"$620,000 - $640,000 (No Body Corp)","1/327 Cranbourne-Frankston Road, Langwarrin",House,3,2,2,,,Sam Khurana,276-300 of 574 properties
"$620,000 - $650,000","11 Timberside Avenue, Warragul",House,4,2,2,,,Jason Lee,276-300 of 574 properties
"$600,000 - $660,000","5 Vita Place, Officer",House,4,2,2,,,Amanda Claridge,276-300 of 574 properties
"$649,000 - $729,000","100 Athenaeum Avenue, Clyde North",House,3,2,2,,,Mohan Singh,276-300 of 574 properties
"New Price $595,000 - $649,000","14 Burchill Avenue, Cranbourne East",House,3,2,2,,,Noah Rezaie,301-325 of 574 properties
"$649,000 - $699,000","14 Hillside Avenue, Dandenong North",House,4,2,4,,,Leo Widjaja,301-325 of 574 properties
"$620,000 - $675,000","10 Kaprun Way, Pakenham",House,4,2,3,,,Ed Rafter,301-325 of 574 properties
"$600,000 - $660,000","66 Brandy Creek Road, Warragul",House,3,2,2,,,Brendan Wetherall,301-325 of 574 properties
"$650,000 - $700,000 - Must Inspect!","26 Fernisky Drive, Cranbourne East",House,3,2,2,,,Kay Bains,301-325 of 574 properties
"$650,000 - $680,000","19 Sunnybrook Avenue, Warragul",House,4,2,2,,,Zac Jeric,301-325 of 574 properties
"$610,000 - $665,000","6 Zeppelin Way, Beaconsfield",House,3,2,2,,,Brad Spencer,301-325 of 574 properties
,"5 Ballad Street, Clyde",House,4,2,2,,,Hardeep Singh,301-325 of 574 properties
"$580,000 to $630,000","6 Arlington Avenue, Pakenham",House,3,2,1,,,Rachael Woodham,301-325 of 574 properties
"$620,000 - $680,000","3 Flourish Walk, Botanic Ridge",House,3,2,2,,,Jamie O'Halloran,301-325 of 574 properties
"Price guide $620,000 to $640,000","2 Raydale Avenue, Narre Warren South",House,3,2,2,,,Lei Asuncion,301-325 of 574 properties
"$640,000 - $680,000","7 Boyd Avenue, Warragul",House,4,2,2,,,Jason Lee,301-325 of 574 properties
"$499,000 - $548,900","40  Armidale Drive, Pakenham",House,3,2,2,,,Steve Harrison,301-325 of 574 properties
"$590,000 - $649,000","13 Fieldstone Avenue, Warragul",House,3,2,2,,,Melissa Ahearn,301-325 of 574 properties
"$580,000 - $638,000","14 Westminster Court, Hampton Park",House,3,2,2,,,Shabana Rexhepi,301-325 of 574 properties
"$550,000 - $590,000","33 Boronia Avenue, Cranbourne",House,3,2,2,,,Matt Dewan,301-325 of 574 properties
"$620,000 - $660,000","93 Strathlea Drive, Cranbourne West",House,3,2,2,,,Akshay Chawla,301-325 of 574 properties
"$580,000 - $638,000","13 Fleuve Rise, Clyde North",House,3,2,1,,,Andrew Nguyen,301-325 of 574 properties
"$650,000-$715,000","4 Kosta Boda Boulevard, Pakenham",House,5,2,2,,,Phillip Khuon,301-325 of 574 properties
,"67 Havana Pde, Pakenham",House,3,2,3,Inspection Sat 11 Jan 10:20 am,,Robert Johnson,301-325 of 574 properties
,"90 Plymouth Boulevard, Clyde North",House,3,2,2,,,Dilshan Wijerathna,301-325 of 574 properties
"$625,000 - $687,500","16 Jacqueline Place, Pakenham",House,3,2,2,,,Paul Organtzidis,301-325 of 574 properties
,"39A Callander Road, Noble Park",Duplex/Semi-detached,4,2,2,,,Theresa Huynh,301-325 of 574 properties
,"94A Player Drive, Narre Warren",House,3,2,2,,,Paul Organtzidis,301-325 of 574 properties
"Price Range: $640,000 - $660,000","108 Victoria Street, Warragul",House,4,2,2,,,Nicole Morris,301-325 of 574 properties
"$630,000 - $690,000 (MUST SELL)","13 Carey Crescent, Pakenham",House,3,2,2,,,Aaron Westney,326-350 of 574 properties
"$ 635,000 - $ 698,500","17 Ethan Terrace, Cranbourne East",House,4,2,2,,,Sam Singh,326-350 of 574 properties
"$618,000-$668,000","12 Claire Close, Pakenham",House,4,2,1,,,Linda Hendrie,326-350 of 574 properties
"$608,000 - $668,000 - ONLY 2 YEARS OLD!","10 Gecko Crescent, Clyde North",House,3,2,1,,,Rowan Reddy,326-350 of 574 properties
"$495,000 - $540,000","30 Merribrook Boulevard, Clyde",House,3,2,2,,,Marsh Schwallie,326-350 of 574 properties
"$600,000 - $650,000","92 Viewbright Road, Clyde North",House,3,2,2,,,Lee Qiang,326-350 of 574 properties
"$600,000 - $660,000","6 Cob Terrace, Clyde North",House,3,2,2,,,Andrew Carlow,326-350 of 574 properties
"$590,000 - $630,000","13 Tallowood Street, Doveton",House,3,2,2,,,Idriss Paykari,326-350 of 574 properties
"$650,000 - $660,000","43 Proctor Road, Longwarry",House,4,2,2,,,Miranda Pike,326-350 of 574 properties
"$620,000 - $682,000","10 Polson Way, Cranbourne West",House,4,3,4,,,Ahmed Mahmoud,326-350 of 574 properties
"$650,000 - $715,000","23 Fergus Lane, Cranbourne West",House,4,3,4,,,Ahmed Mahmoud,326-350 of 574 properties
"$335,000 TO $368,500","151/1325 Frankston-Dandenong Road, Carrum Downs",House,3,2,2,,,Mark Burke,326-350 of 574 properties
"$650,000 - $695,000","5 Tara Grove, Drouin",House,3,2,2,,,Katrina Guy,326-350 of 574 properties
"$649,000 - $699,000","23 Mountain Vista Court, Drouin",House,4,2,2,,,Braeden Robbins,326-350 of 574 properties
"$500,000 - $550,000","17 Somerset Drive, Warragul",House,3,2,2,,,Jason Lee,326-350 of 574 properties
"$620,000 - $650,000","8 Mitchell Court, Warragul",House,3,2,4,,,Daniel Sheehan,326-350 of 574 properties
,"2 Ardmore Street, Cranbourne",House,4,2,2,,,Navii Sarai,326-350 of 574 properties
"$530,000 - $550,000","11 Holland Street, Drouin",House,3,2,1,,,Nicole Lancey,326-350 of 574 properties
"$650,000 - $715,000","4 Barite Place, Frankston",House,4,2,1,,,Chris Fyfe,326-350 of 574 properties
"$600,000 - $630,000","12 Folkstone Court, Drouin",House,4,2,2,,,Mark Woods,326-350 of 574 properties
"$590,000 - $629,000 - Brand New + $10,000 FHBG","44 Hedgevale Drive, Officer",House,3,2,1,,,Vitaldi Cooray,326-350 of 574 properties
"$610,000 - $671,000","26 Minster Avenue, Warragul",House,4,2,2,,,Candice Hill,326-350 of 574 properties
"$629,000-$685,000","103 Henry Road, Pakenham",House,4,2,2,,,Shelly Brown,326-350 of 574 properties
"$650,000 - $710,000 - LUXURY HOME","8 Pesaro St, Clyde",House,4,2,2,,,Vitaldi Cooray,326-350 of 574 properties
"$580,000 - $630,000","285 Rix Road, Officer",House,3,2,2,,,Ali Azimi,326-350 of 574 properties
"Contact Agent Brand New + $10,000 FHBG","36 Dangelo Avenue, Officer",House,3,2,2,,,Yogi Patel,351-375 of 574 properties
,"24 Pygora Way, Clyde North",House,3,2,1,,,Sam Singh,351-375 of 574 properties
"$625,000 - $650,000","3/5 Henry Street, Pakenham",House,4,2,2,,,Gavin Staindl,351-375 of 574 properties
"$520,000 - $550,000","18 Mclean Street, Drouin",House,3,2,2,,,Vince Di Grazia,351-375 of 574 properties
"$590,000 - $640,000","2 Koel Court, Carrum Downs",House,3,2,1,,,Georgia Ryan,351-375 of 574 properties
,"13 Capel Street, Nar Nar Goon North",House,4,2,2,,,Eiman Khan,351-375 of 574 properties
"$560,000 - $600,000","1/4 Hearn Street, Drouin",House,3,2,1,,,Dale Atkin,351-375 of 574 properties
"$650,000 - $710,000","55 Riana Loop, Eumemmerring",House,4,2,2,,,Adam McWatters,351-375 of 574 properties
"$645,000 - $695,000","28 Regans Road, Hampton Park",House,4,3,4,,,Esmail Namdar,351-375 of 574 properties
"$650,000 - $690,000","31 Pommel Street, Pakenham",House,4,2,2,,,Callum Donders,351-375 of 574 properties
"$600,000 - $650,000","73 Falling Water Drive, Pakenham",House,3,2,2,,,Agent: Vincent Djuang,351-375 of 574 properties
"$640,000 - $660,000","27  Denistoun Crescent, Cranbourne",House,3,2,2,,,,351-375 of 574 properties
"$641,100","Lot 415 Piero Street (Bella), Clyde",House,3,2,2,,,,351-375 of 574 properties
$639000 - $690000,"14 Minster Avenue, Warragul",House,4,2,2,,,,351-375 of 574 properties
$649K H&L PACKAGE,"Lot 36  Granite Court (Nelson Village Estate), Cranbourne East",House,4,2,2,,,,351-375 of 574 properties
$541K  H&L PACKAGE,"Lot 41  Granite Court (Nelson Village Estate), Cranbourne East",House,4,2,1,,,,351-375 of 574 properties
"$574,400 TO $594,400","Lot 221 Paramount Drive, Warragul",House,4,2,2,,,,351-375 of 574 properties
"$563,700","LOT 51 BOURBON ROAD, Cranbourne East",House,4,2,1,,,,351-375 of 574 properties
"$607,700","LOT 202 SHAKEAL WAY, Clyde North",House,3,2,1,,,,351-375 of 574 properties
"$576,521","Lot 4904 Willey Road, Clyde North",House,3,2,2,,,,351-375 of 574 properties
"$487,218","Lot 240 Hillcrest Road, Drouin",House,3,2,1,,,,351-375 of 574 properties
"$649,000 Fixed & Turnkey","19 Rockdale Rd, Clyde North",House,4,2,2,,,,351-375 of 574 properties
"$650,000 - $700,000","96 Henry Street, Pakenham",House,4,2,2,,,,351-375 of 574 properties
"$650,000 No stamp Duty Q3 2025 EXPECTED COMPLETION","3 CALICHE PLACE, Cranbourne East",House,3,2,1,,,,351-375 of 574 properties
"$650,000 - $690,000","19 Tranter Square, Lynbrook",House,3,2,2,,,,351-375 of 574 properties
"$595,000","Lot 120 Cattlemans Drive (Lillifield Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
"$632,800","Lot 34 Talc Street, Cranbourne East",House,3,2,2,,,,376-400 of 574 properties
"$585,800 To $605,800","Lot 130 Nelson Street, Cranbourne East",House,4,2,1,,,,376-400 of 574 properties
"$626,120","Lot 3002 Simmental Street (Ferntree Ridge Estate), Drouin",House,4,2,2,,,,376-400 of 574 properties
"$585,270","Lot 110 Rosea Street (Lillifield Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
"$619,121","Lot 209 ROSEA ST, Warragul",House,4,2,2,,,,376-400 of 574 properties
"From $570,000","248 Vantage Rise, Warragul",House,4,2,2,,,,376-400 of 574 properties
"$622,750","LOT 232 Kookaburra Rise, Pakenham",House,4,2,2,,,,376-400 of 574 properties
"$612,750","LOT 114 Kookaburra Rise, Pakenham",House,4,2,2,,,,376-400 of 574 properties
"$582,100","LOT 1421 Talia Street, Clyde",House,4,2,2,,,,376-400 of 574 properties
"$553,000","240 Fily Street (FULL TURNKEY), Clyde North",House,3,2,1,,,,376-400 of 574 properties
"$544,200","LOT 124 Thredbo Parkway, Pakenham",House,3,2,1,,,,376-400 of 574 properties
"$542,200","LOT 44 Granite Court, Cranbourne East",House,3,2,1,,,,376-400 of 574 properties
"$647,000","LOT 31 SAFFRON ESTATE, Clyde North",House,3,2,2,,,,376-400 of 574 properties
$640K  H&L PACKAGE,"Lot 913 Forage Street (Banyan Place), Officer",House,4,2,2,,,,376-400 of 574 properties
$629K H&L PACKAGE,"Lot 204 Plantation Road (Drouin Fields Estate), Drouin",House,4,2,2,,,,376-400 of 574 properties
$620K TITLED H&L PACKAGE,"Lot 323 Jarah Crescent (Emberwood Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
$619K TITLED H&L PACKAGE,"Lot 264 Harbinger Street (Copelands Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
$594K TITLED H&L PACKAGE,"Lot 330  Carriage Drive (Parkside Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
$590K TITLED H&L PACKAGE,"Lot 706 Zinc Way (Platinum Rise Estate), Drouin",House,4,2,2,,,,376-400 of 574 properties
$576K TITLED H&L PACKAGE,"Lot 120 Cattleman's Drive, Warragul",House,4,2,2,,,,376-400 of 574 properties
$557K TITLED H&L PACKAGE,"Lot 200 Vantage Rise (Crownlea Estate), Warragul",House,4,2,2,,,,376-400 of 574 properties
"$547,100","Lot 110 Bell Heather Boulevard (Lillifield), Warragul",House,4,2,2,,,,376-400 of 574 properties
"$537,400","Lot 244 Vantage Rise (Crownlea), Warragul",House,3,2,2,,,,376-400 of 574 properties
$537K  H&L PACKAGE,"Lot 248 Hillcrest Road (Drouin Fields Estate), Drouin",House,3,2,2,,,,376-400 of 574 properties
$530K  H&L PACKAGE,"Lot 240  Hillcrest Road (Drouin Fields Estate), Drouin",House,4,2,1,,,,401-425 of 574 properties
$517K  H&L PACKAGE,"Lot 918  Forage Street (Banyan Place), Officer",House,3,2,1,,,,401-425 of 574 properties
"$625,000 Fixed Price & Full Turnkey Inclusions","Lot 918 Forage Street, Officer",House,3,2,1,,,,401-425 of 574 properties
$638K TITLED H&L PACKAGE,"Lot 28 Parkhurst Drive (Greenwich Central), Cranbourne",House,3,2,2,,,,401-425 of 574 properties
$638K TITLED H&L PACKAGE,"Lot 1609  Cactus Drive (One Bells Estate), Clyde",House,4,2,2,,,,401-425 of 574 properties
$620K TITLED H&L PACKAGE,"Lot 15  Yardi Way (Saffron Estate), Clyde",House,4,2,1,,,,401-425 of 574 properties
$567K TITLED H&L PACKAGE,"Lot 1620  Northumberland Road (Evergreen Estate), Clyde",House,4,2,1,,,,401-425 of 574 properties
"$640,900","LOT 137 SHAKEAL WAY, Clyde North",House,4,2,2,,,,401-425 of 574 properties
"$618,040","Lot 4905 Willey Road, Clyde North",House,3,2,2,,,,401-425 of 574 properties
"$594,500","21 Cultura Walk, Cranbourne West",House,4,3,2,,,,401-425 of 574 properties
"From* $643,602","Lot 1002 Karak Street, Drouin",House,3,2,2,,,,401-425 of 574 properties
"$650,000 BRAND NEW - No Body Corp","40 D'Angelo Avenue, Officer",House,3,2,1,,,,401-425 of 574 properties
"$646,600 To $664,600","Lot 235 Paramount Drive, Warragul",House,4,2,2,,,,401-425 of 574 properties
"$599,921","Lot 98 SIERRA ST, Warragul",House,4,2,2,,,,401-425 of 574 properties
"$598,962","Lot 248 Vantage Rise, Warragul",House,3,2,2,,,,401-425 of 574 properties
"$584,702","Lot 248 Trailwater Court, Warragul",House,4,2,2,,,,401-425 of 574 properties
"$558,978","Lot 4 Trailwater Court, Warragul",House,3,2,2,,,,401-425 of 574 properties
"$642,000","5  Kosciuszko Circuit, Clyde",House,4,3,2,,,,401-425 of 574 properties
"$631,287","Lot 140 Shakeal Way, Clyde North",House,3,2,2,,,,401-425 of 574 properties
"$619,615","Lot 117 Mckenzie, Clyde North",House,3,2,1,,,,401-425 of 574 properties
"$577,344","Lot 211 Cape Street, Clyde North",House,3,2,1,,,,401-425 of 574 properties
"$535,700","Lot 248 Hillcrest Street (Drouin Fields), Drouin",House,3,2,2,,,,401-425 of 574 properties
"$649,000 Fixed & Turnkey","21 Rockdale Rd, Clyde North",House,4,2,2,,,,401-425 of 574 properties
"$649,000 Fixed & Turnkey","17 Rockdale Rd, Clyde North",House,4,2,2,,,,401-425 of 574 properties
"$647,750","LOT 851 Heather Grove, Clyde North",House,4,2,2,,,,401-425 of 574 properties
"$645,600","LOT 208 SHAKEAL WAY, Clyde North",House,3,2,2,,,,426-450 of 574 properties
$645K H&L PACKAGE,"Lot 125  Monterey Way (The Rise Estate), Pakenham",House,4,2,2,,,,426-450 of 574 properties
$640K  H&L PACKAGE,"Lot 205  Plantation Road (Drouin Fields Estate), Drouin",House,4,2,2,,,,426-450 of 574 properties
$640K TITLED H&L PACKAGE,"Lot 1603  Cactus Drive (One Bells Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
"$632,100","LOT 34 TALC STREET, Cranbourne East",House,4,2,2,,,,426-450 of 574 properties
"$631,900","LOT 209 SHAKEAL WAY, Clyde North",House,4,2,2,,,,426-450 of 574 properties
$631K TITLED H&L PACKAGE,"Lot 68  Harmon Drive (Drouin Springs Estate), Drouin",House,4,2,2,,,,426-450 of 574 properties
$630K TITLED H&L PACKAGE,"Lot 515  Padua Street (Bella Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
$630K TITLED H&L PACKAGE,"Lot 1609  Watercolour Boulevard (Orana Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
$629K TITLED H&L PACKAGE,"Lot 12 Yardi Way (Saffron Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
"$627,750","LOT 1404 Aria Road, Clyde",House,4,2,2,,,,426-450 of 574 properties
"$627,750","LOT 1405 Aria Road, Clyde",House,4,2,2,,,,426-450 of 574 properties
$626K TITLED H&L PACKAGE,"Lot 109  Ventura Road (Drouin Fields Estate), Drouin",House,4,2,2,,,,426-450 of 574 properties
$625K PLUS,"LOT 2810 SMITHS LANE BARGIN 4 BED!!/ HOLD 2024 PRICES !!, Clyde North",House,4,2,2,,,,426-450 of 574 properties
$620K TITLED H&L PACKAGE,"Lot 360 Tribute Avenue (Verve Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
$620K  H&L PACKAGE,"Lot 2725  Lismac Avenue (Smiths Lane Estate), Clyde",House,4,2,2,,,,426-450 of 574 properties
"$619,000 Fixed & Turnkey","18 Rockdale Rd, Clyde North",House,3,2,2,,,,426-450 of 574 properties
"$619,000 Fixed & Turnkey","20 Rockdale Rd, Clyde North",House,3,2,2,,,,426-450 of 574 properties
$617K TITLED H&L PACKAGE,"Lot 28 Kenmore Way (Saffron Estate), Clyde",House,3,2,2,,,,426-450 of 574 properties
"$616,915","Lot 213 Rosea Street, Warragul",House,4,2,2,,,,426-450 of 574 properties
"$614,400","LOT 50 BOURBON ROAD, Cranbourne East",House,3,2,2,,,,426-450 of 574 properties
"$611,889","Lot 835 Spurge Road, Officer",House,3,2,1,,,,426-450 of 574 properties
"$607,900","LOT 24 TALC STREET, Cranbourne East",House,3,2,2,,,,426-450 of 574 properties
$604K TITLED H&L PACKAGE,"Lot 112  Rosea Street (Lilifield Estate), Warragul",House,5,2,2,,,,426-450 of 574 properties
$603K TITLED H&L PACKAGE,"Lot 235 Paramount Drive (Copelands Estate), Warragul",House,4,2,2,,,,426-450 of 574 properties
"$598,400","LOT 42 GRANITE COURT, Cranbourne East",House,4,2,2,,,,451-475 of 574 properties
"$590,400","LOT 29 TALC STREET, Cranbourne East",House,4,2,2,,,,451-475 of 574 properties
"$589,339","Lot 28 Kenmore Way, Clyde North",House,3,2,1,,,,451-475 of 574 properties
$578K TITLED H&L PACKAGE,"Lot 235  Paramount Drive (Copelands Estate), Warragul",House,4,2,2,,,,451-475 of 574 properties
$577K TITLED H&L PACKAGE,"Lot 200 Vantage Rise (Crownlea Estate), Warragul",House,4,2,2,,,,451-475 of 574 properties
"$576,932","Lot 25 Trailwater Court, Warragul",House,4,2,2,,,,451-475 of 574 properties
"$573,597","Lot 326 Kauri Street, Warragul",House,4,2,2,,,,451-475 of 574 properties
$567K H&L PACKAGE,"Lot 44  Granite Court (Nelson Village Estate), Cranbourne",House,3,2,2,,,,451-475 of 574 properties
"$559,200","LOT 212 SHAKEAL WAY, Clyde North",House,3,2,1,,,,451-475 of 574 properties
"$553,400","LOT 213 Laker Boulevard, Clyde North",House,4,2,2,,,,451-475 of 574 properties
"$553,400","LOT 212 Laker Boulevard, Clyde North",House,4,2,2,,,,451-475 of 574 properties
$650K PLUS,"LOT 1814 ORANA ESTATE  BUY NOW PAY AT 2024 PRICES !, Clyde North",House,4,2,2,,,,451-475 of 574 properties
$650K PLUS,"LOT 843 TARANTO ST /HUGE 495 SQMT LAND BUILD NOW, Clyde",House,4,2,2,,,,451-475 of 574 properties
$635K PLUS,"LOT 2915 SMITHS LANE BARGIN 4 BED!!/ HOLD 2024 PRICES !!, Clyde North",House,4,2,2,,,,451-475 of 574 properties
$635K PLUS,"LOT 2912 SMITHS LANE BARGIN 4 BED!!/ HOLD 2024 PRICES !!, Clyde North",House,4,2,2,,,,451-475 of 574 properties
$625K PLUS,"LOT 2725 SMITHS LANE BUILD NOW HOLD 2024 PRICES !!, Clyde North",House,4,2,2,,,,451-475 of 574 properties
"$460,000 - $480,000","3/23 Albert Road, Drouin",House,3,2,2,,,,451-475 of 574 properties
"$622,460","Lot 4904 Willey Road (Meridian Estate), Clyde North",House,3,2,2,,,,451-475 of 574 properties
"$622,400","Lot 262 Vantage Rise (Crownlea Estate), Warragul",House,4,2,2,,,,451-475 of 574 properties
$649K 3bed+Study Turnkey!,"4904 Willey Rd, Clyde North",House,3,2,2,,,,451-475 of 574 properties
"$643,256","Lot 110 Bell Heather Boulevard, Warragul",House,4,2,2,,,,451-475 of 574 properties
"$629,100","Lot 4904 Meridian, Clyde North",House,3,2,2,,,,451-475 of 574 properties
"$590,000 to $640,000","40 Dangelo Avenue, Officer",House,3,2,1,,,,451-475 of 574 properties
$619K 4Bed H&L,"2398 Mimosa Grange, Clyde",House,4,2,2,,,,451-475 of 574 properties
"$590,900 Full Turnkey + Ready to Build !!!","18 Northumberland Road, Clyde",House,3,2,2,,,,451-475 of 574 properties
"$600,300","Lot 45 Granite Court, Cranbourne East",House,3,2,2,,,,476-500 of 574 properties
"$640,421","Lot 115 Ventura Road, Drouin",House,3,2,2,,,,476-500 of 574 properties
"$639,100 To $659,100","Lot 131 Creek Circuit, Pakenham",House,4,2,2,,,,476-500 of 574 properties
"$607,500 To $627,500","Lot 6 Bluebell Way, Officer",House,3,2,1,,,,476-500 of 574 properties
"$600,000 House and Land Turnkey FHBG","8 Hydrangea Rd, Junction Village",House,3,2,1,,,,476-500 of 574 properties
"$591,300 To $611,300","Lot 131 Nelson Street, Cranbourne East",House,4,2,1,,,,476-500 of 574 properties
"$588,800 To $613,800","Lot 516  Songbird Way, Pakenham",House,4,2,1,,,,476-500 of 574 properties
"$587,700 To $607,700","Lot 183 Mornington Crescent, Nar Nar Goon North",House,3,2,2,,,,476-500 of 574 properties
"$582,300 To $602,300","Lot 133 Nelson Street, Cranbourne East",House,3,2,1,,,,476-500 of 574 properties
"$623,763","Lot 840/45 Rix Road, Officer",House,3,2,2,,,,476-500 of 574 properties
