"SA1","Number","Percent (%)","Households",
"21004154016","8","3.5%","226",
"21004154017","0","0.0%","269",
"21004154018","0","0.0%","235",
"21004154019","0","0.0%","160",
"21004154020","0","0.0%","146",
"21004154021","0","0.0%","124",
"21004154022","5","3.0%","164",
"21004154023","0","0.0%","229",
"21004154024","0","0.0%","111",
"21004154025","0","0.0%","195",
"21004154026","0","0.0%","161",
"21004154027","0","0.0%","184",
"21004154028","0","0.0%","131",
"21004154029","0","0.0%","109",
"21004154030","0","0.0%","137",
"21004154031","3","1.7%","176",
"21004154032","0","0.0%","84",
"21004154033","0","0.0%","200",
"21004154034","0","0.0%","258",
"21004154101","4","2.2%","178",
"21004154102","0","0.0%","219",
"21004154103","0","0.0%","119",
"21004154104","0","0.0%","80",
"21004154105","0","0.0%","166",
"21004154106","0","0.0%","122",
"21004154107","0","0.0%","201",
"21004154108","0","0.0%","163",
"21004154109","0","0.0%","227",
"21004154110","0","0.0%","175",
"21004154111","0","0.0%","117",
"21004154112","0","0.0%","191",
"21004154113","0","0.0%","93",
"21004154114","0","0.0%","151",
"21004154115","3","2.3%","129",
"21004154116","0","0.0%","110",
"21004154117","6","3.3%","184",
"21004154118","0","0.0%","226",
"21004154119","0","0.0%","133",
"21004154120","0","0.0%","208",
"21004154121","0","0.0%","151",
"21004154122","0","0.0%","97",
"21004154123","0","0.0%","128",
"21004154124","0","0.0%","136",
"21004154125","0","0.0%","195",
"21004154126","0","0.0%","199",
"21005124201","3","1.3%","237",
"21005124202","15","10.8%","139",
"21005124203","8","4.1%","196",
"21005124204","4","2.1%","194",
"21005124205","39","13.6%","286",
"21005124206","58","27.1%","214",
"21005124207","36","21.7%","166",
"21005124208","50","18.9%","264",
"21005124209","25","11.7%","213",
"21005124210","47","22.7%","207",
"21005124211","28","16.4%","171",
"21005124212","0","0.0%","312",
"21005124213","5","2.3%","221",
"21005124214","8","6.1%","131",
"21005124215","9","3.0%","298",
"21005124216","4","8.2%","49",
"21005124217","3","2.5%","121",
"21005124218","8","3.4%","235",
"21005124219","94","65.3%","144",
"21005124220","0","0.0%","134",
"21005124221","0","0.0%","112",
"21005124222","0","0.0%","148",
"21005124223","45","77.6%","58",
"21005124224","18","10.4%","173",
"21005124225","47","22.0%","214",
"21005124227","18","16.4%","110",
"21005124301","16","13.3%","120",
"21005124302","5","7.9%","63",
"21005124303","0","0.0%","12",
"21005124305","0","0.0%","161",
"21005124306","0","0.0%","150",
"21005124307","0","0.0%","65",
"21005124308","11","8.7%","126",
"21005124309","0","0.0%","122",
"21005124310","0","0.0%","112",
"21005124311","3","3.2%","93",
"21005124312","19","11.7%","162",
"21005124313","8","10.0%","80",
"21005124314","5","2.4%","212",
"21005124315","0","0.0%","92",
"21005124316","0","0.0%","104",
"21005124317","12","7.5%","161",
"21005124318","0","0.0%","182",
"21005124319","0","0.0%","141",
"21005124320","8","3.6%","225",
"21005124321","0","0.0%","206",
"21005124323","6","3.4%","178",
"21005124324","6","7.8%","77",
"21005124325","3","2.2%","136",
"21005124326","7","5.4%","129",
"21005124327","9","5.5%","163",
"21005124328","4","2.5%","163",
"21005124329","20","11.9%","168",
"21005124330","0","0.0%","106",
"21005124331","0","0.0%","72",
"21005124332","0","0.0%","70",
"21005124333","13","6.8%","190",
"21005124334","8","7.1%","113",
"21005124335","0","0.0%","135",
"21005124336","3","2.1%","146",
"21005124337","10","8.8%","114",
