"Hume City, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"21005124606","0","0.0%","123",
"21005124607","0","0.0%","101",
"21005124608","0","0.0%","106",
"21005124609","0","0.0%","139",
"21005124610","0","0.0%","180",
"21005124611","0","0.0%","131",
"21005124612","0","0.0%","131",
"21005124613","0","0.0%","77",
"21005124614","0","0.0%","148",
"21005124615","0","0.0%","151",
"21005124616","0","0.0%","99",
"21005124617","0","0.0%","168",
"21005124618","0","0.0%","103",
"21005124619","0","0.0%","111",
"21005124620","0","0.0%","116",
"21005124621","0","0.0%","100",
"21005124624","0","0.0%","94",
"21005124625","0","0.0%","208",
"21005124627","0","0.0%","130",
"21005124628","0","0.0%","118",
"21005124629","0","0.0%","77",
"21005124631","0","0.0%","111",
"21005124633","0","0.0%","243",
"21005124634","0","0.0%","125",
"21005124636","0","0.0%","132",
"21005124638","0","0.0%","172",
"21005124639","0","0.0%","129",
"21005124640","0","0.0%","118",
"21005124641","0","0.0%","202",
"21005124642","0","0.0%","146",
"21005124643","0","0.0%","107",
"21005124644","0","0.0%","99",
"21005124645","0","0.0%","165",
"21005124646","0","0.0%","172",
"21005124647","0","0.0%","111",
"21005124648","0","0.0%","160",
"21005124649","3","0.7%","410",
"21005124650","0","0.0%","217",
"21005124651","0","0.0%","52",
"21005124653","0","0.0%","133",
"21005124654","0","0.0%","142",
"21005124655","0","0.0%","102",
"21005124656","0","0.0%","123",
"21005124701","7","4.0%","175",
"21005124702","9","8.0%","112",
"21005124703","8","4.7%","170",
"21005124704","14","6.7%","209",
"21005124705","58","36.7%","158",
"21005124706","26","12.6%","207",
"21005124707","12","13.6%","88",
"21005124708","4","2.5%","159",
"21005124709","3","2.1%","144",
"21005124710","24","16.8%","143",
"21005124711","0","0.0%","147",
"21005124712","3","2.5%","119",
"21005124713","6","3.3%","182",
"21005124714","8","4.7%","172",
"21005124715","22","11.3%","195",
"21005124716","17","12.1%","140",
"21005124717","8","6.0%","134",
"21005124718","4","2.5%","163",
"21005124719","21","18.8%","112",
"21005124720","12","7.6%","157",
"21005124721","13","8.1%","160",
"21005124722","7","3.9%","180",
"21005124723","3","1.8%","171",
"21005124724","3","1.6%","191",
"21005124725","13","6.6%","198",
"21005124726","0","0.0%","130",
"21005124727","3","2.0%","150",
"21005124728","3","2.5%","120",
"21005124729","16","21.9%","73",
"21005124730","7","13.7%","51",
"21005124801","0","0.0%","28",
"21005125001","0","0.0%","215",
"21005125002","5","3.5%","144",
"21005125003","0","0.0%","279",
"21005125004","8","2.8%","286",
"21005125005","0","0.0%","208",
"21005125006","5","3.6%","139",
"21005125007","3","1.0%","287",
"21005125009","0","0.0%","175",
"21005125010","0","0.0%","166",
"21005125011","0","0.0%","181",
"21005125012","0","0.0%","101",
"21005125013","0","0.0%","133",
"21005125014","0","0.0%","174",
"21005125015","0","0.0%","88",
"21005125016","5","4.3%","117",
"21005125018","4","2.7%","149",
"21005144102","5","4.8%","105",
"21005144103","3","2.4%","123",
"21005144104","6","3.5%","173",
"21005144105","3","3.5%","85",
"21005144106","0","0.0%","144",
"21005144107","0","0.0%","102",
"21005144108","0","0.0%","126",
"21005144109","4","3.0%","132",
"21005144110","0","0.0%","106",
"21005144111","9","5.3%","170",
"21005144112","0","0.0%","167",
"21005144113","0","0.0%","127",
"21005144114","0","0.0%","140",
"21005144115","0","0.0%","116",
"21005144116","0","0.0%","104",
"21005144117","0","0.0%","89",
"21005144118","0","0.0%","165",
"21005144119","0","0.0%","190",
"21005144120","0","0.0%","76",
"21005144121","3","1.8%","167",
"21005144122","0","0.0%","98",
"21005144201","0","0.0%","165",
"21005144203","0","0.0%","114",
"21005144204","6","4.7%","129",
"21005144205","0","0.0%","8",
"21005144206","0","0.0%","194",
"21005144207","0","0.0%","168",
"21005144208","0","0.0%","155",
"21005144209","0","0.0%","197",
"21005144210","0","0.0%","81",
"21005144212","0","0.0%","174",
"21005144213","0","0.0%","125",
"21005144214","0","0.0%","143",
"21005144215","0","0.0%","110",
"21005144216","0","0.0%","92",
"21005144217","0","0.0%","99",
"21005144218","0","0.0%","126",
"21005144219","0","0.0%","170",
"21005144220","0","0.0%","116",
"21005144221","0","0.0%","101",
"21005144222","0","0.0%","61",
"21005144223","0","0.0%","123",
"21005144224","0","0.0%","103",
"21005144226","5","2.3%","216",
"21005144227","0","0.0%","114",
"21005144228","0","0.0%","123",
"21005144229","0","0.0%","107",
"21005144230","0","0.0%","115",
"21005144231","0","0.0%","200",
"21005144301","0","0.0%","10",
"21005144303","3","2.2%","137",
"21005144304","0","0.0%","97",
"21005144305","4","2.7%","150",
"21005144306","0","0.0%","91",
"21005144307","5","6.0%","83",
"21005144308","0","0.0%","76",
"21005144309","12","6.5%","184",
"21005144310","0","0.0%","148",
"21005144311","0","0.0%","92",
"21005144312","0","0.0%","119",
"21005144313","0","0.0%","98",
"21005144314","3","1.7%","173",
"21005144315","0","0.0%","96",
"21005144316","12","8.6%","139",
"21005144317","0","0.0%","89",
"21005144318","3","1.8%","171",
"21005144319","4","2.6%","152",
"21005144320","0","0.0%","139",
"21005144321","0","0.0%","107",
"21005144322","0","0.0%","170",
"21005144324","0","0.0%","124",
"21005144325","4","2.4%","168",
"21005144326","0","0.0%","142",
"21005144327","0","0.0%","76",
"21005144328","7","3.6%","197",
"21005144329","0","0.0%","151",
"21005144330","0","0.0%","264",
"21005144331","0","0.0%","106",
"21005144332","5","4.7%","107",
"21005144333","0","0.0%","189",
"21005144334","5","3.4%","146",
"21005144336","3","3.6%","83",
"21005144337","0","0.0%","118",
"21005144338","0","0.0%","173",
"21005144339","0","0.0%","188",
"21005144340","0","0.0%","135",
"21005144341","0","0.0%","161",
"21005144342","0","0.0%","180",
"21005144343","0","0.0%","173",
"21005144344","0","0.0%","159",
"21005144345","0","0.0%","144",
"21005144346","0","0.0%","101",
"21005144347","0","0.0%","175",
"21005144348","0","0.0%","226",
"21005144349","0","0.0%","199",
"21005144503","0","0.0%","129",
"21005144505","0","0.0%","142",
"21005144506","0","0.0%","145",
"21005144507","0","0.0%","62",
"21005144508","0","0.0%","132",
"21005144509","0","0.0%","124",
"21005144510","0","0.0%","134",
"21005144511","0","0.0%","97",
"21005144512","0","0.0%","186",
"21005144513","0","0.0%","107",
"21005144514","0","0.0%","81",
"21005144515","0","0.0%","97",
"21005144516","0","0.0%","155",
"21005144517","0","0.0%","136",
"21005144518","0","0.0%","273",
"21005144519","0","0.0%","205",
"21005144520","0","0.0%","131",
"21005144521","0","0.0%","170",
"21005144522","0","0.0%","129",
"21005144523","0","0.0%","145",
"21005144524","0","0.0%","54",
"21005144525","0","0.0%","181",
"21005144526","0","0.0%","257",
"21005144527","0","0.0%","135",
"21005144528","0","0.0%","80",
"21005144529","0","0.0%","124",
"21005144530","0","0.0%","143",
